1;bunker;64.00;9.70;1788.00;2.17;0
1;bunker;118.00;9.70;1788.00;3.38;0
1;bunker;341.00;9.70;1716.00;1.22;0
1;bunker;297.00;9.70;1766.00;2.33;0
1;bunker;377.00;9.70;1761.00;2.24;0
1;bunker;481.00;9.70;1786.00;3.45;0
1;bunker;104.00;9.70;1764.00;4.63;0
1;bunker;260.00;9.70;1760.00;2.64;0
1;bunker;197.00;9.70;1777.00;5.21;0
1;bunker;220.00;9.70;1724.00;3.66;0
1;bunker;29.00;9.70;1778.00;5.88;0
1;bunker;285.00;9.70;1710.00;5.44;0
1;bunker;316.00;9.70;1761.00;3.45;0
1;bunker;275.00;9.70;1771.00;1.29;0
1;bunker;69.00;9.70;1755.00;6.12;0
1;bunker;358.00;9.70;1758.00;2.41;0
1;bunker;128.00;9.70;1782.00;2.92;0
1;bunker;412.00;9.70;1755.00;1.97;0
1;bunker;3.00;9.70;1781.00;2.47;0
1;bunker;332.00;9.70;1783.00;5.14;0
1;bunker;415.00;9.70;1783.00;6.25;0
1;bunker;502.00;9.70;1766.00;2.64;0
1;bunker;132.00;9.70;1757.00;1.09;0
1;bunker;458.00;9.70;1725.00;5.72;0
1;bunker;189.00;9.70;1736.00;5.37;0
1;bunker;198.00;9.70;1715.00;3.83;0
1;bunker;208.00;9.70;1744.00;2.78;0
1;bunker;376.00;9.70;1766.00;2.17;0
1;bunker;219.00;9.70;1759.00;1.73;0
1;bunker;329.00;9.70;1789.00;5.96;0
1;bunker;76.00;9.70;1779.00;2.85;0
1;bunker;162.00;9.70;1787.00;1.29;0
1;bunker;227.00;9.70;1783.00;2.41;0
1;bunker;453.00;9.70;1760.00;5.08;0
1;bunker;156.00;9.70;1725.00;5.59;0
1;bunker;400.00;9.70;1771.00;4.03;0
1;bunker;474.00;9.70;1761.00;4.54;0
1;bunker;524.00;9.70;1747.00;0.92;0
1;bunker;113.00;9.70;1745.00;1.53;0
1;bunker;479.00;9.70;1744.00;2.04;0
1;bunker;430.00;9.70;1713.00;4.70;0
2;arms_factory;1894.00;9.70;1625.00;5.44;0
2;arms_factory;1701.00;10.07;1774.00;2.17;0
2;arms_factory;1848.00;9.70;1629.00;3.38;0
2;arms_factory;1882.00;9.70;1663.00;1.22;0
2;arms_factory;1851.00;9.70;1702.00;5.34;0
2;arms_factory;1645.00;9.78;1776.00;5.45;0
2;industrial_complex;1725.00;9.70;1697.00;3.29;0
2;industrial_complex;1772.00;9.70;1706.00;5.95;0
2;industrial_complex;1824.00;10.00;1720.00;2.33;0
2;industrial_complex;1910.00;9.70;1695.00;3.89;0
2;industrial_complex;2027.00;11.75;1674.00;1.73;0
2;industrial_complex;1656.00;10.28;1734.00;4.40;0
2;air_base;1930.00;9.70;1570.00;0.78;0
2;bunker;1818.00;9.70;1697.00;2.34;0
2;bunker;1659.00;11.07;1777.00;0.18;0
2;bunker;1912.00;9.70;1729.00;2.84;0
2;bunker;1921.00;10.80;1710.00;5.50;0
2;bunker;1938.00;9.70;1646.00;2.24;0
2;bunker;1847.00;9.70;1622.00;3.45;0
2;bunker;1921.00;9.70;1572.00;1.29;0
2;bunker;1783.00;10.23;1723.00;2.85;0
2;bunker;1841.00;10.20;1712.00;5.51;0
2;bunker;1799.00;9.80;1754.00;1.90;0
2;bunker;1871.00;9.70;1632.00;6.02;0
2;bunker;1707.00;9.90;1762.00;6.12;0
2;bunker;1815.00;9.88;1763.00;3.96;0
2;bunker;1894.00;9.70;1625.00;1.80;0
2;bunker;1870.00;9.70;1711.00;4.46;0
2;bunker;1937.00;11.68;1758.00;6.03;0
2;bunker;1639.00;10.53;1777.00;2.41;0
2;bunker;1679.00;10.80;1733.00;0.25;0
2;bunker;2029.00;10.48;1690.00;1.45;0
2;bunker;1746.00;10.68;1729.00;4.47;0
2;bunker;1821.00;9.70;1627.00;0.85;0
2;bunker;1656.00;10.93;1723.00;3.52;0
2;bunker;1793.00;9.70;1694.00;5.08;0
2;bunker;1793.00;9.70;1700.00;2.92;0
2;bunker;1732.00;9.70;1703.00;5.58;0
2;bunker;1891.00;9.70;1675.00;1.96;0
2;bunker;1981.00;10.25;1687.00;4.98;0
2;bunker;1838.00;9.70;1642.00;6.19;0
2;bunker;1863.00;10.05;1756.00;4.03;0
2;bunker;1859.00;9.70;1684.00;0.41;0
2;bunker;1930.00;9.70;1576.00;1.97;0
2;bunker;1812.00;9.70;1657.00;4.63;0
2;bunker;1872.00;9.70;1590.00;2.47;0
2;bunker;1881.00;9.70;1590.00;5.14;0
2;bunker;1965.00;11.38;1747.00;0.41;0
2;bunker;1941.00;9.70;1678.00;4.54;0
2;bunker;1829.00;9.70;1591.00;0.92;0
